time_h,aguda,doble,normal,bg_01,bg_02,bg_03,bg_04,bg_05,bg_06,bg_07,bg_08,bg_09,bg_10,bg_11,bg_12,bg_13,bg_14,bg_15,bg_16,bg_17,bg_18,bg_19,bg_20,bg_21,bg_22,bg_23,bg_24,bg_25,bg_26,bg_27,bg_28,bg_29,bg_30,bg_31,bg_32,bg_33,bg_34,bg_35,bg_36,bg_37,bg_38,bg_39,bg_40,bg_41,bg_42,bg_43,bg_44,bg_45,bg_46,bg_47,bg_48,bg_49,bg_50
0.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
0.0667,71.96947893236347,71.91191297900025,71.9282253902965,71.65127222761447,71.96560404872265,71.87681706692855,71.88830725835348,71.96533169603745,71.92561510677893,71.95970373852423,71.71039325581886,71.90343097684519,71.95711726373004,71.67319797808743,71.90470506395256,71.75073031360904,71.73857750512582,71.93906210654302,71.83729301771706,71.90290007129433,71.76433903727215,71.8824738881658,71.91675676877806,71.81785988694615,71.85174659593318,71.90339838070103,71.95225482559829,71.8704093265749,71.90915347517827,71.93604074460856,71.82848917458314,71.85457816879938,71.9580824676546,71.96475996176076,71.85495417770743,71.8585686559237,71.82102436889203,71.91209349936557,71.94479027444034,71.96892861381508,71.90179351067603,71.88963154393842,71.87255395645444,71.77160268076715,71.85829777503895,71.97146491796838,71.98216418617133,71.91560097952095,71.92793970446814,71.84267022343863,71.96860051470522,71.85950541968678,71.8868009461908
0.1333,71.87946701132402,71.65616798049975,71.7198405767035,70.66718652775586,71.86430175273162,71.52295960551464,71.565143883321,71.86375669538194,71.70921437942383,71.84171536744951,70.89291391448566,71.62335316070194,71.83162157658973,70.75342971077248,71.62842804153115,71.0420406190354,71.00136911354952,71.76082436490928,71.37062168919844,71.62298155249546,71.10163065281542,71.54505795737069,71.67416079076244,71.29801939025545,71.4238485775605,71.62337798030772,71.81287268925945,71.49898785247541,71.64602385127635,71.75078903672873,71.33608895112073,71.43789133272206,71.83545995306794,71.86102964452563,71.43727467777232,71.4514169543929,71.31012766953825,71.65715428789383,71.78284791182084,71.87736136100274,71.6175876279888,71.57038793846912,71.5073675835693,71.12974265717996,71.45392406753095,71.88743326127074,71.92965478489317,71.67175498568105,71.71918250023488,71.39591305899279,71.87606599465917,71.45308502986896,71.56073599336399
0.2,71.73175,71.244,71.384,69.13495600153848,71.69831235801502,70.95983360524347,71.04643688502873,71.69830893236524,71.35962659262528,71.64967582533444,69.61964459505948,71.17252477924619,71.62748685897256,69.32610538465144,71.1839177932205,69.92833917554425,69.85451842926703,71.47107853838972,70.62934974851888,71.17563099244315,70.07429002964439,71.00846373742924,71.28145302434037,70.47721634341184,70.73902311939483,71.17293011942951,71.58679514965343,70.90952427503234,71.22314226860053,71.45306892747506,70.55303224132689,70.77679767414095,71.63608998142624,71.6911700328846,70.77063347978445,70.80180676497892,70.50327718178275,71.24681844023475,71.51872918562268,71.72721806390878,71.1612919920107,71.05814012351357,70.92796891624654,70.13554681859297,70.81554204019106,71.74976016121855,71.84365313039943,71.28102066677063,71.38360741029177,70.69488424083065,71.72433599191976,70.80088740177472,71.04014015782568
0.2667,71.52847747480097,70.68768798350025,70.9307087272965,67.14588410874944,71.47026490692744,70.21029927174742,70.34943531037614,71.4724345890805,70.88656273835481,71.38770510771606,67.96606516593754,70.56484809449958,71.34919673840217,67.48046470614982,70.5850519617644,68.46696591477104,68.36723461754794,71.07634055822247,69.64476065618915,70.57738271747812,68.74749304364455,70.29478990639952,70.74886234281837,69.39433374232335,69.82174060883878,70.56619031145061,71.27953075319836,70.12733588990957,70.65411558198231,71.05246180842069,69.51157627334796,69.89987054895617,71.36442823985347,71.45796187744494,69.88041640441351,69.93467091120976,69.43854820974609,70.69376341997818,71.15764715329234,71.52078881661582,70.5479787451369,70.3700652688745,70.15938915813909,68.8528170234069,69.97348367801057,71.56064070461466,71.72555302395055,70.75695512801698,70.9319467847558,69.77658905443808,71.51572424071588,69.92472393867789,70.3446861388322
0.3333,71.27213205376154,70.00037498499975,70.3706759137035,64.79401296067014,71.18316046458948,69.29833428271303,69.49245703834254,71.18994209008949,70.30047401720219,71.06034243030778,66.00993536097236,69.81516563543767,71.001679385782,65.30825508521417,69.84663351361718,66.71734497528078,66.61076765642832,70.58375575775219,68.44959649912673,69.8456756485831,67.18821073785466,69.42719669100183,70.0874561831325,68.0898256852879,68.69786495608098,69.81823100149083,70.89707474152675,69.17889533053408,69.95342675016273,70.55916585342635,68.24552731525166,68.83697718155058,71.0253637868323,71.16456568773421,68.793349554658,68.87624622940501,68.15556197555887,70.01152225700883,70.7053961434192,71.26070113361732,69.79366131167393,69.52439458415974,69.22779360695287,67.34708482004011,68.9593019554524,71.32257838650068,71.57694068912214,70.11391476247725,70.37562887794351,68.67933524367612,71.25288546735125,68.84774866388099,69.49509486739046
0.4,70.964,69.192,69.712,62.16244819460644,70.83866031258582,68.24366862904405,68.48982603131536,70.85332207393313,69.60907902970246,70.67059997999756,63.819918428461406,68.93482540558347,70.58824198977733,62.89112562329481,68.98002349717432,64.73075869668425,64.64820031335896,69.99817191510816,67.07103334525455,68.99453961222518,65.45616588111113,68.42480349707296,69.30521781543675,66.59807364674941,67.3880233127082,68.94063828820896,70.44363872173096,68.08625850419075,69.13229292183276,69.98108005580744,66.78279500927871,67.61303519414297,70.62220417175787,70.81277288115784,67.53109473788602,67.64783881442047,66.68796717187347,69.21044783693307,70.16566063174487,70.94836876990118,68.91083758529543,68.53541814719094,68.15500936912645,65.67688288709702,67.79982877993112,71.03696578364925,71.39870886275003,69.36325943654475,69.7234889870129,67.4363250993306,70.9372477996996,67.58809647027896,68.5081292086996
0.4667,70.60648526723847,68.27551698800025,68.9652360642965,59.34474993168725,70.43967815467101,67.07005108271049,67.35963088887975,70.46629988514846,68.82266518714809,70.2229211197361,61.47337167352246,67.93846538511656,70.11371133548857,60.320395006569825,67.99982402053679,62.56623720928101,62.55042601458943,69.32659119344562,65.54151772705534,68.04122381613772,63.61802550454673,67.31055395766259,68.41302739408185,64.95922499624555,65.91778509593618,67.9482814262482,69.92510827931197,66.87566514975204,68.20500792809523,69.32826944713021,65.1568695872343,66.25765148488796,70.1597398050457,70.40565500651488,66.12009895901551,66.27541448114945,65.07508279589054,68.30388712857045,69.54410092324329,70.58633979276175,67.91531880690245,67.42114143495601,66.96697353195331,63.90745209622348,66.52637900526943,70.70623400314531,71.19239865834238,68.51917555844001,68.98680496923218,66.08562276814484,70.57138567455492,66.16863369270432,67.40429140536465
0.5333,70.20228784619903,67.26452798949975,68.1414672507035,56.4355941175193,69.98945430080875,65.80194350298666,66.12072492619967,70.03290301688578,67.95208951546903,69.72209652698483,59.04859075901296,66.84141906429102,69.58328044705515,57.68830272231568,66.92131813264778,60.28387732113051,60.389148718773775,68.57653128603266,63.894401099863025,67.00359001055163,61.7410926558092,66.10806225706666,67.42242420890435,63.214308911279836,64.31368126094014,66.85671765306216,69.34775922480468,65.57406212642917,67.18650195014962,68.611247015802,63.402219583467684,64.80122091269489,69.64311661449347,69.94661527276348,64.58770088840434,64.7858023904459,63.35709882001874,67.30581946506253,68.84686783879896,70.17746018845298,66.82359179648141,66.2003210687376,65.69031408768409,62.104628171633294,65.17095074693495,70.3330846304331,70.95971951236926,67.59640961754684,68.17736150309085,64.66593798500276,70.15817461196596,64.61318469108679,66.2047843197177
0.6,69.75225,66.168,67.248,53.51641286188266,69.48916018450103,64.45800638350698,64.78628517566061,69.55516894141198,67.00421630003358,69.17061748197898,56.61283157254101,65.65399131190988,68.99970722324501,55.07511684296371,65.75484559829995,57.93336155518084,58.22623554671199,67.75206677247917,62.15550231697554,65.89474932302502,59.8841361982006,64.83544209996523,66.34040295040204,61.39638431966574,62.59489683263348,65.6765012220747,68.71521790090856,64.2024447935673,66.08703773084267,67.83723990385793,61.54528736981221,63.26747930637472,69.07510894007427,69.43694766924888,62.954225002427066,63.19901378008182,61.56635763738586,66.22564930408615,68.07691017224789,69.72269688937622,65.64714120573313,64.88612055073719,64.34582191485018,60.32605162459988,63.759351147970506,69.91850457545465,70.70131170878022,66.60548146351576,67.30323374893212,63.209504779511896,69.69859117137037,62.93844750028279,64.92532001871709
0.6667,69.25900230967596,64.99939999250024,66.2958074012965,50.6818059791067,68.94196011274201,63.062573811923016,63.37501173066501,69.03705710094958,65.98978144196079,68.57319679257401,54.24432285090887,64.39137228159416,68.3681028858199,52.57304500638106,64.51554972670823,55.57464718889984,56.13334159068653,66.8606006545364,60.358015757084154,64.73244683095203,58.11444506377904,63.516188862989054,65.17836049968142,59.54634605836581,60.787776309918705,64.42304844083017,68.03367458861504,62.78763921219432,64.92141628466301,67.01667017959791,59.62036818219885,61.68668772296348,68.46078353231069,68.87997847339972,61.24684306963577,61.54171699749997,59.7429157944391,65.07722573913351,67.24026741817447,69.22482631365193,64.4023181218516,63.49714652188802,62.96000763410755,58.637551318304645,62.32347468556588,69.46513252172286,70.41884560107522,65.56102742498341,66.37610327666602,61.75495356857095,69.19544056425316,61.16805497653619,63.58696961188343
0.7333,68.72543438863653,63.77262699399975,65.2962145877035,48.02586628098213,68.35129958217803,61.64028857844079,61.906065283693074,68.48276899247912,64.91991986302637,67.9348226754703,52.02089018094268,63.06920288016006,67.69386659123982,50.2736287491106,63.219010385061466,53.267740648345445,54.18170219502208,65.90993759207458,58.535487018175864,63.53474810207995,56.498785050479384,62.17407747659923,63.948173445190854,57.705281477884284,58.91919374483132,63.11221465075808,67.30961332376914,61.356730346252746,63.70483522238299,66.16023904271647,57.66216482172553,60.08938927252369,67.80548480513082,68.27931752404255,59.49316990713369,59.841003069272745,57.92702587003158,63.87480702604607,66.3433788318414,68.68688329690877,63.105883508290184,62.052453871907716,61.5596295819734,57.10441613104727,60.89536137072892,68.97583970123057,70.11413576636298,64.4780047050832,65.40796939444564,60.34090348698474,68.65178917653415,59.32621340625648,62.21115721644104
0.8,68.152,62.495999999999995,64.256,45.63078628604592,67.71792829454927,60.2093481807375,60.39193205486517,67.8939790515101,63.80089739242068,67.25757334926838,50.010394099633544,61.69711193112347,66.97932439020627,48.25813517069169,61.87491258303589,51.062250742794866,52.43381402376238,64.90354975282665,56.71320819045037,62.31428358852157,55.09670962471313,60.82680236714009,62.65611700634918,55.90596077181387,57.00753993186402,61.753895636763104,66.5462198718621,59.930325249254025,62.446962466776256,65.27475499048732,55.696508388884084,58.498896757204925,67.11157065545484,67.63583352158685,57.712865501529905,58.11624929372014,56.15073624543364,62.627183955685126,65.38859364101299,68.10944719373299,61.76870727920276,60.56453381385733,60.16510710962819,55.78509645018928,59.50060007305956,68.45126424479731,69.78760618021843,63.366451901877,64.40643071481814,58.99960548538652,68.0682218549629,57.42876078655634,60.81306545397344
0.8667,67.54152860211347,61.18333699700025,63.1864227382965,43.590988533686556,67.04522710192903,58.79436877149022,58.851695572532606,67.27483575319219,62.64377049159494,66.54637714421943,48.290928770432004,60.29065821683046,66.22981322022682,46.61847083261708,60.498757566717224,49.018298845388344,50.961171240275455,63.849155583818636,54.924706273044116,61.08907522559998,53.975260365141835,59.498117443412966,61.31397023672997,54.18950933833716,55.07961050347973,60.36386807093288,65.7499168657835,58.535500183328494,61.162926422831646,64.37087052468458,53.758071124198366,56.9457460095514,66.38432579072781,66.95307140252864,55.93348996439665,56.39449609201847,54.454334872505456,61.34854036565853,64.38226247196714,67.4954931506854,60.407481115863284,59.05236700937557,58.80319202081223,54.745158108738096,58.17126164765022,67.8942239685099,69.44103836387752,62.241275881840544,63.38343072582604,57.7697636597284,67.44774465784147,55.4998080849436,59.414073624483876
